               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,            0.024447,           0.0059852,                   0,             0.85187,             0.79651,             0.83393,             0.41137,            0.038932,           0.0066062,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.023151,            0.005958,                   0,             0.83895,             0.77907,             0.80083,             0.39736,            0.038796,           0.0067974,                   0,            0.005776,            0.005776,            0.005776
                  66,             0.02326,           0.0060838,                   0,             0.83206,             0.80233,             0.79677,               0.399,            0.038631,           0.0067505,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.023927,           0.0059531,                   0,             0.85957,              0.8185,             0.83617,              0.4228,              0.0381,           0.0068893,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.023875,           0.0060233,                   0,             0.85325,             0.81129,             0.85673,             0.43145,            0.037454,           0.0066785,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.022746,           0.0058586,                   0,             0.88969,             0.80814,             0.83421,             0.41065,            0.037501,           0.0066387,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.022634,           0.0058259,                   0,             0.86881,             0.80233,             0.83803,             0.39501,            0.039751,           0.0067238,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.023216,           0.0055414,                   0,             0.89646,             0.81395,             0.81592,             0.39679,            0.039762,            0.007007,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.022722,           0.0055699,                   0,             0.89735,             0.81318,             0.82748,             0.40393,            0.037758,           0.0066673,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.022376,           0.0058483,                   0,             0.87661,             0.81395,              0.8406,             0.40131,            0.037706,           0.0067829,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.023236,            0.005705,                   0,             0.86603,             0.78488,             0.81737,             0.40215,            0.038364,           0.0069352,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.023047,           0.0057057,                   0,             0.85682,             0.80023,             0.85145,             0.40406,            0.038179,           0.0067934,                   0,            0.005116,            0.005116,            0.005116
                  76,             0.02238,           0.0055132,                   0,             0.81939,              0.8177,              0.8434,             0.40631,            0.039343,           0.0070814,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.022562,           0.0060881,                   0,              0.8489,             0.78396,             0.81803,             0.38643,            0.039152,           0.0071175,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.022465,           0.0056246,                   0,             0.85301,             0.77326,             0.80716,             0.38615,            0.039956,           0.0071263,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.022491,           0.0058392,                   0,             0.87523,                0.75,             0.82321,             0.40465,            0.038583,           0.0069095,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.022111,           0.0058863,                   0,             0.85945,             0.78214,             0.82932,             0.40053,            0.038447,           0.0068626,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.022036,           0.0054605,                   0,             0.87857,             0.76744,             0.82906,             0.39637,            0.040421,           0.0070986,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.022053,           0.0055481,                   0,             0.86559,              0.7907,             0.82937,              0.4203,            0.039886,             0.00698,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.020814,           0.0056938,                   0,             0.87495,             0.77291,             0.82414,              0.4096,            0.038965,           0.0071421,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.021488,           0.0054877,                   0,             0.89281,             0.77482,             0.84458,             0.41692,            0.038615,           0.0069603,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.021437,           0.0054644,                   0,             0.87381,             0.80517,             0.84565,              0.4137,             0.03803,           0.0069042,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.020971,           0.0056233,                   0,             0.86718,             0.83514,             0.85838,             0.40897,            0.037499,           0.0067494,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.021095,           0.0056961,                   0,             0.86823,              0.8314,             0.85322,             0.40752,            0.039066,           0.0069056,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.020603,            0.005362,                   0,             0.83705,             0.83626,             0.85293,             0.41978,            0.039021,           0.0068238,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.021047,           0.0055469,                   0,              0.8781,             0.79576,             0.83974,             0.41592,            0.038323,           0.0066394,                   0,            0.004192,            0.004192,            0.004192
                  90,              0.0212,           0.0057036,                   0,             0.88475,             0.76163,             0.83338,             0.42779,            0.037757,           0.0066755,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.020651,            0.005319,                   0,             0.88793,             0.77907,             0.84837,             0.41002,             0.03826,           0.0068465,                   0,             0.00406,             0.00406,             0.00406
                  92,             0.02051,           0.0056324,                   0,             0.90216,             0.76163,             0.83046,             0.42382,             0.03711,           0.0067811,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.020544,           0.0055292,                   0,             0.88877,             0.78978,             0.83691,             0.40961,            0.037363,           0.0068744,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.020293,           0.0055173,                   0,             0.86892,             0.80233,             0.82782,             0.40626,            0.037477,           0.0067116,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.020248,            0.005514,                   0,             0.88587,             0.81227,             0.84517,             0.41306,            0.037311,           0.0066926,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.020557,           0.0055891,                   0,             0.86414,             0.77658,             0.80338,             0.40501,            0.037955,            0.006891,                   0,             0.00373,             0.00373,             0.00373
                  97,             0.02031,           0.0052008,                   0,             0.88876,             0.76744,             0.82146,             0.42311,             0.03827,           0.0069276,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.019745,           0.0054444,                   0,             0.89699,             0.75943,             0.83113,             0.42082,            0.038591,           0.0070877,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.019793,           0.0051722,                   0,             0.83407,             0.81395,             0.83179,             0.40981,            0.039365,           0.0069705,                   0,            0.003532,            0.003532,            0.003532
                 100,            0.019667,           0.0053323,                   0,              0.8706,             0.81395,              0.8609,             0.41649,            0.038952,           0.0069421,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.019648,           0.0051804,                   0,             0.84543,             0.79499,             0.83351,             0.41973,            0.037565,           0.0070032,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.019793,           0.0055651,                   0,             0.85297,             0.79651,             0.83519,             0.42669,            0.037991,           0.0069632,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.019278,           0.0055902,                   0,             0.87164,             0.78963,             0.82023,             0.42799,            0.038535,            0.006918,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.018891,           0.0051617,                   0,             0.84512,             0.79315,             0.81563,             0.41023,            0.038827,           0.0068104,                   0,            0.003202,            0.003202,            0.003202
                 105,            0.019449,           0.0050924,                   0,             0.84838,             0.81977,             0.82614,             0.40712,            0.037976,           0.0067471,                   0,            0.003136,            0.003136,            0.003136
                 106,            0.019344,           0.0053336,                   0,             0.84653,             0.83384,             0.83566,             0.40704,            0.037895,           0.0069273,                   0,             0.00307,             0.00307,             0.00307
                 107,            0.019123,           0.0054331,                   0,             0.84694,             0.83646,             0.83088,             0.42187,            0.037764,           0.0068842,                   0,            0.003004,            0.003004,            0.003004
                 108,            0.018941,            0.005175,                   0,             0.83995,              0.8314,              0.8337,             0.41395,             0.03794,           0.0069124,                   0,            0.002938,            0.002938,            0.002938
                 109,            0.018785,           0.0051466,                   0,             0.87953,             0.78488,             0.82796,             0.40455,            0.037447,           0.0069042,                   0,            0.002872,            0.002872,            0.002872
                 110,            0.018759,           0.0051126,                   0,             0.86033,             0.82558,             0.84073,             0.42318,            0.037902,           0.0069302,                   0,            0.002806,            0.002806,            0.002806
                 111,             0.01852,           0.0051095,                   0,             0.88602,             0.81353,             0.85735,             0.41014,            0.038755,           0.0070101,                   0,             0.00274,             0.00274,             0.00274
